m,wrho,womega,wa1,wphi,wf1s
1.0,0.1077685032,0.02029583846,0.870854038,0.001081620317,0
1.02,0.1033767216,0.01991917565,0.8725298974,0.004174205352,0
1.04,0.08174798903,0.01828158056,0.8925382715,0.007432158937,0
1.06,0.07761035031,0.01703470749,0.894707544,0.01064739823,0
1.08,0.07126663361,0.017539731,0.8961962465,0.0149973889,0
1.1,0.06918465192,0.01700865927,0.8952595204,0.01854716839,0
1.12,0.07180398631,0.01685218321,0.8889767106,0.02236711987,0
1.14,0.07558359985,0.0171516958,0.8804608224,0.02680388196,0
1.16,0.07490178793,0.01769540613,0.8756376038,0.03176520214,0
1.18,0.0717815154,0.01783866771,0.8742911919,0.03608862502,0
1.2,0.07294925535,0.0182490744,0.8678191022,0.04098256809,0
1.22,0.09119923241,0.01978930176,0.8402787605,0.04873270529,0
1.24,0.08616914515,0.0210436936,0.8365324199,0.05625474131,0
1.26,0.09352605119,0.02194836674,0.8213690195,0.06315656256,0
1.28,0.09605283419,0.02257773584,0.8119359481,0.06943348187,0
1.3,0.09914151802,0.02326147208,0.8016101756,0.0759868343,0
1.32,0.1219229258,0.01387093649,0.8163297327,0.047876405,0
1.34,0.1315272928,0.01495480855,0.7992291844,0.05428871425,0
1.36,0.1441709527,0.01681470964,0.7750739874,0.06394035021,0
1.38,0.1656512269,0.01865871897,0.7416317026,0.07405835153,0
1.4,0.1783724798,0.0202362379,0.7160707171,0.08357029585,0.001750269355
1.42,0.2115829074,0.01418968813,0.7087282264,0.06079897735,0.004700200657
1.44,0.2315177164,0.01165667645,0.6983572326,0.05168894333,0.006779431237
1.46,0.2505950606,0.01277272332,0.6676576976,0.05848085571,0.01049366275
1.48,0.2606337054,0.01397955499,0.6442088347,0.06595289645,0.01522500846
1.5,0.2660675647,0.01538847573,0.6226660037,0.07466767054,0.02121028529
1.52,0.2558194918,0.01738443708,0.6109585847,0.08660705245,0.02923043395
1.54,0.2471790732,0.01783350645,0.6083670521,0.09107696086,0.03554340745
1.56,0.2467953279,0.01505178383,0.6246981698,0.07868998794,0.03476473052
1.58,0.2465588115,0.01295868512,0.6371585907,0.06926015072,0.03406376197
1.6,0.2384831016,0.01460016033,0.6241950686,0.07967969146,0.04304197797
1.62,0.2267040568,0.01717421621,0.6044248591,0.09559860335,0.0560982646
1.64,0.2091684701,0.02103951819,0.5750853708,0.1193296937,0.07537694722
1.66,0.2065386248,0.02061858236,0.5734759509,0.1190408451,0.08032599679
1.68,0.2034106051,0.01995578649,0.5755365192,0.117178125,0.08391896419
1.7,0.2005162192,0.01933799868,0.5775321351,0.11539119,0.0872224571
1.72,0.1978333269,0.0187608602,0.5794740148,0.1136749263,0.09025687172
1.74,0.195342276,0.01822053189,0.5813709695,0.1120246086,0.09304161395
1.76,0.1930255966,0.017713624,0.5832299409,0.1104358867,0.09559495186
1.78,0.190867732,0.01723713595,0.5850564085,0.1089047649,0.09793395873
1.8,0.1888548026,0.01678840467,0.5868547036,0.1074275769,0.1000745123
1.82,0.1869744,0.01636506051,0.588628251,0.1060009602,0.1020313284
1.84,0.185215408,0.01596498944,0.5903797581,0.1046218301,0.1038180143
1.86,0.1835678475,0.01558630066,0.5921113627,0.1032873555,0.1054471336
1.88,0.1820227411,0.01522729881,0.5938247496,0.1019949356,0.1069302748
1.9,0.180571996,0.0148864601,0.5955212429,0.1007421791,0.1082781219
1.92,0.1792083023,0.01456241166,0.5972018788,0.09952688442,0.1095005229
1.94,0.1779250442,0.01425391381,0.5988674644,0.09834702208,0.1106065555
1.96,0.1767162222,0.01395984463,0.6005186243,0.09720071891,0.1116045899
1.98,0.175576386,0.01367918658,0.6021558379,0.09608624347,0.1125023461
2.0,0.1745005747,0.01341101488,0.6037794695,0.09500199304,0.113306948
2.02,0.1738012289,0.01337537625,0.6013597031,0.09552402223,0.1159396695
2.04,0.1731226329,0.01334067077,0.5990117317,0.09602669829,0.1184982664
2.06,0.1724640627,0.01330687466,0.5967330508,0.09651098041,0.1209850315
2.08,0.1718248161,0.01327396395,0.5945212302,0.09697776913,0.1234022206
2.1,0.1712042129,0.01324191462,0.5923739163,0.09742791051,0.1257520457
2.12,0.170601595,0.01321070277,0.5902888327,0.09786220001,0.1280366695
2.14,0.1700163271,0.0131803047,0.5882637807,0.09828138606,0.1302582015
2.16,0.169447796,0.01315069702,0.5862966386,0.09868617326,0.1324186951
2.18,0.1688954106,0.01312185672,0.5843853615,0.09907722547,0.1345201457
2.2,0.1683586015,0.01309376121,0.582527979,0.09945516854,0.1365644898
2.22,0.1678368205,0.01306638836,0.5807225944,0.09982059289,0.1385536038
2.24,0.1673295402,0.01303971657,0.5789673828,0.1001740559,0.1404893045
2.26,0.1668362532,0.01301372474,0.5772605886,0.100516084,0.1423733494
2.28,0.1663564717,0.01298839235,0.5756005241,0.1008471749,0.144207437
2.3,0.1658897268,0.0129636994,0.5739855667,0.1011677992,0.1459932079
2.32,0.1654355678,0.01293962649,0.5724141572,0.1014784022,0.1477322463
2.34,0.1649935618,0.01291615476,0.5708847973,0.1017794058,0.1494260804
2.36,0.1645632926,0.01289326591,0.5693960473,0.1020712095,0.1510761847
2.38,0.1641443604,0.01287094223,0.5679465242,0.1023541921,0.152683981
2.4,0.1637363814,0.01284916652,0.5665348992,0.1026287131,0.1542508398
2.42,0.1633389865,0.01282792216,0.5651598957,0.1028951133,0.1557780824
2.44,0.1629518212,0.01280719303,0.5638202873,0.1031537166,0.1572669818
2.46,0.162574545,0.01278696357,0.5625148955,0.1034048308,0.1587187651
2.48,0.1622068307,0.01276721868,0.5612425881,0.1036487483,0.1601346142
2.5,0.1618483637,0.01274794381,0.560002277,0.1038857473,0.1615156682
2.52,0.1614988418,0.01272912485,0.5587929165,0.1041160925,0.1628630244
2.54,0.1611579746,0.01271074818,0.5576135013,0.1043400359,0.16417774
2.56,0.1608254828,0.01269280065,0.5564630653,0.1045578176,0.1654608336
