m,pi-_pi0,pi-_2pi0,2pi-_pi+,2pi-_pi+_pi0,pi-_3pi0,eta_pi-_pi0,K_K,K_K_pi,5pi,other
0.775,0,0.5083050899,0.4860108791,0.005655328221,0,0,0,0,2.870270042e-05,0
0.78,0,0.4868516935,0.5072770659,0.005836677526,0,0,0,0,3.45631363e-05,0
0.785,0,0.4788121872,0.5156514235,0.005495124726,0,0,0,0,4.126459901e-05,0
0.79,0,0.4821555721,0.5130938732,0.004701686042,0,0,0,0,4.886863263e-05,0
0.795,0,0.4850259363,0.5108963146,0.004020252916,0,0,0,0,5.749610648e-05,0
0.8,0,0.4890414212,0.5071301256,0.00376062873,0,0,0,0,6.782450742e-05,0
0.805,0,0.4959398207,0.4997456825,0.004233546551,0,0,0,0,8.095025592e-05,0
0.81,0,0.5023465374,0.4928847789,0.004672837659,0,0,0,0,9.584602409e-05,0
0.815,0,0.5143139301,0.4806310073,0.00494279113,0,0,0,0,0.0001122713982,0
0.82,0,0.5464750636,0.4486970991,0.004698747912,0,0,0,0,0.0001290894397,0
0.825,0,0.5756957698,0.4196795637,0.004476987807,0,0,0,0,0.0001476787057,0
0.83,0,0.5986946086,0.3968108833,0.004326679873,0,0,0,0,0.0001678281488,0
0.835,0,0.6024210371,0.3929573696,0.004433366431,0,0,0,0,0.0001882268758,0
0.84,0,0.6057760215,0.3894840804,0.004529467681,0,0,0,0,0.000210430458,0
0.845,0,0.6042709302,0.390718779,0.004778310342,0,0,0,0,0.0002319805116,0
0.85,0,0.5845744728,0.4095352704,0.005646373718,0,0,0,0,0.000243883016,0
0.855,0,0.5683473728,0.4250336573,0.00636141385,0,0,0,0,0.0002575560132,0
0.86,0,0.550579378,0.4424836764,0.006668667927,0,0,0,0,0.0002682776668,0
0.865,0,0.5255687896,0.4680254053,0.00613768025,0,0,0,0,0.000268124893,0
0.87,0,0.5062871258,0.4877131107,0.005728337762,0,0,0,0,0.0002714257857,0
0.875,0,0.4949644569,0.4994990309,0.005254920415,0,0,0,0,0.0002815917602,0
0.88,0,0.4921156984,0.5029893345,0.004593970571,0,0,0,0,0.0003009965455,0
0.885,0,0.4895780619,0.5060946441,0.00400558237,0,0,0,0,0.0003217116519,0
0.89,0,0.4817878837,0.5134728816,0.004398473316,0,0,0,0,0.0003407613209,0
0.895,0,0.4701671463,0.5239350548,0.0055394194,0,0,0,0,0.0003583794982,0
0.9,0,0.4599454269,0.533134406,0.006542828036,0,0,0,0,0.0003773390839,0
0.905,0,0.4444896481,0.5487322322,0.006379841891,0,0,0,0,0.0003982778446,0
0.91,0,0.4283111867,0.565418145,0.005849887217,0,0,0,0,0.0004207810939,0
0.915,0,0.4137271113,0.5804560977,0.005372188484,0,0,0,0,0.0004446025115,0
0.92,0,0.4350221119,0.553731421,0.01078349264,0,0,0,0,0.0004629744374,0
0.925,0,0.4548593573,0.5289175453,0.01574055245,0,0,0,0,0.0004825449186,0
0.93,0,0.4690546765,0.511736533,0.01870863237,0,0,0,0,0.0005001581414,0
