m,pi-_pi0,pi-_2pi0,2pi-_pi+,2pi-_pi+_pi0,pi-_3pi0,eta_pi-_pi0,K_K,K_K_pi,5pi,other
0.735,0.991698151,0.00527795479,0.002866362923,1.995776322e-05,0.0001375553422,0,0,0,1.818146057e-08,0
0.74,0.9915594793,0.005092103961,0.003184304216,3.03418244e-05,0.0001337411746,0,0,0,2.949644812e-08,0
0.745,0.9914274198,0.004915122022,0.003487073135,4.023035155e-05,0.0001301090207,0,0,0,4.565687623e-08,0
0.75,0.9913015169,0.004746400128,0.003775711237,4.965736231e-05,0.0001266463853,0,0,0,6.796455162e-08,0
0.755,0.9906376033,0.005115682248,0.004057456505,5.16780343e-05,0.0001374797702,0,0,0,1.001518992e-07,0
0.76,0.989974096,0.005484732157,0.004339024605,5.369743539e-05,0.0001483063429,0,0,0,1.434105854e-07,0
0.765,0.9893110356,0.00585352595,0.004620397298,5.571543473e-05,0.0001591254023,0,0,0,2.003188363e-07,0
0.77,0.9880352797,0.006308626056,0.005434663805,6.418401731e-05,0.0001569671249,0,0,0,2.792475575e-07,0
0.775,0.9864254949,0.006824276513,0.006524964422,7.592590418e-05,0.0001489529523,0,0,0,3.853496025e-07,0
0.78,0.9847207855,0.007370325166,0.007679539735,8.835999102e-05,0.0001404663284,0,0,0,5.232426151e-07,0
0.785,0.982777687,0.008175057138,0.008804036244,9.382166917e-05,0.0001486933645,0,0,0,7.04536066e-07,0
0.79,0.9805168307,0.009308288993,0.009905570584,9.076873723e-05,0.0001775975384,0,0,0,9.434368937e-07,0
0.795,0.978043618,0.01054793955,0.01111054696,8.742910752e-05,0.0002092160271,0,0,0,1.250377372e-06,0
0.8,0.975455734,0.01188397929,0.01232354489,9.138537554e-05,0.0002437082651,0,0,0,1.648173358e-06,0
0.805,0.9728571762,0.01332144517,0.01342367447,0.0001137173421,0.0002818124071,0,0,0,2.174405746e-06,0
0.81,0.9698994134,0.01495757111,0.01467584342,0.0001391356292,0.0003251826074,0,0,0,2.85385409e-06,0
0.815,0.9664896816,0.0170475373,0.0159310774,0.0001638345983,0.0003641477285,0,0,0,3.721366924e-06,0
0.82,0.9625466241,0.02026746112,0.01664110884,0.000174265391,0.000365752974,0,0,0,4.787620468e-06,0
0.825,0.9580519652,0.02393762945,0.01745042158,0.0001861547032,0.0003675825955,1.059219284e-07,0,0,6.140531717e-06,0
0.83,0.9528868259,0.02799126753,0.01855242962,0.0002022888666,0.0003583798372,9.616648719e-07,0,0,7.846609179e-06,0
0.835,0.9469917338,0.03175787514,0.02071556322,0.0002337141117,0.0002884044459,2.786538098e-06,0,0,9.92277037e-06,0
0.84,0.9402246407,0.03608093595,0.02319826084,0.0002697819449,0.000208090393,5.756631476e-06,0,0,1.253355631e-05,0
0.845,0.9319416755,0.0410263956,0.02652747699,0.0003244188006,0.0001542287474,1.005430933e-05,0,0,1.575009448e-05,0
0.85,0.9204885165,0.04630754751,0.03244167317,0.0004472821365,0.0002800748376,1.558650363e-05,0,0,1.931939363e-05,0
0.855,0.9077267136,0.0521915252,0.03903097982,0.0005841707152,0.000420286889,2.267237921e-05,0,0,2.365145296e-05,0
0.86,0.8921077898,0.05909256959,0.04749087686,0.000715734623,0.0005328151735,3.142025385e-05,0,0,2.879369865e-05,0
0.865,0.8706565414,0.0676872461,0.06027631666,0.0007904629838,0.0005133239335,4.157748099e-05,0,0,3.453141811e-05,0
0.87,0.847196862,0.07708601184,0.07425797875,0.0008721823844,0.0004920081807,5.36302258e-05,0,0,4.132661145e-05,0
0.875,0.8248516163,0.08640325756,0.08719483351,0.0009173229223,0.0005162966738,6.751706143e-05,0,0,4.915594451e-05,0
0.88,0.8069792572,0.09463710938,0.09672818165,0.0008834509789,0.0006311629913,8.295412348e-05,0,0,5.788362999e-05,0
0.885,0.7877075153,0.1035148767,0.1070070919,0.0008469279922,0.000755013408,0.0001005529837,0,0,6.802172026e-05,0
0.89,0.7664921451,0.1120139495,0.1193805975,0.00102262922,0.0008917691149,0.0001196837475,0,0,7.922578107e-05,0
0.895,0.7436159994,0.1199886604,0.1337104599,0.001413683449,0.001039616467,0.0001401205065,0,0,9.145997595e-05,0
0.9,0.7194554334,0.1284103996,0.14884375,0.001826667064,0.00119575378,0.0001626482925,0,0,0.0001053478516,0
0.905,0.6970015821,0.134092433,0.1655400534,0.00192465342,0.00113516944,0.0001859572011,0,0,0.0001201513813,0
0.91,0.6748683749,0.1387456193,0.1831595651,0.001894991888,0.0009846014844,0.0002105411042,0,0,0.0001363063475,0
0.915,0.6519187849,0.1435698352,0.2014274241,0.001864234164,0.0008284875825,0.0002369499375,0,0,0.0001542840862,0
0.92,0.6210497735,0.164379231,0.2092352151,0.004074694549,0.0008198449842,0.0002662994115,0,0,0.0001749414108,0
0.925,0.5885174505,0.1866601364,0.2170513139,0.006459433272,0.0008156782688,0.0002979663103,0,0,0.0001980214298,0
0.93,0.5551753472,0.2080560668,0.2269882289,0.008298487705,0.0009307816726,0.0003292352772,0,0,0.0002218524639,0
0.935,0.5237432071,0.2240766938,0.2419136133,0.008287234958,0.001383615239,0.0003535845848,0,0,0.0002420509767,0
0.94,0.4928887074,0.239801653,0.2565634587,0.008276168377,0.00182810417,0.0003783487792,0,0,0.0002635595648,0
0.945,0.4682690363,0.2540333357,0.2640278041,0.01084955751,0.002124297528,0.0004070340233,0,0,0.0002889349551,0
0.95,0.4475918052,0.2674735171,0.2665639659,0.01529195657,0.002321394987,0.0004392481699,0,0,0.0003181119737,0
0.955,0.4266760855,0.2810671454,0.2691284754,0.01978528024,0.002520747215,0.0004726699584,0,0,0.0003495962997,0
0.96,0.4056490967,0.2902781225,0.2812120611,0.01961584963,0.002356281812,0.0005060323667,0,0,0.0003825558876,0
0.965,0.3844960019,0.2993083013,0.2938674238,0.01919844765,0.002171609407,0.0005403655123,0,0,0.0004178504066,0
0.97,0.365885684,0.3065005519,0.305753184,0.01870611571,0.002123248441,0.0005756422111,0,0,0.0004555737976,0
0.975,0.3521307853,0.3102215163,0.3161337239,0.01807689437,0.00232955236,0.0006117650498,0,0,0.0004957627416,0
0.98,0.3383042694,0.3139605015,0.3265663702,0.01744439031,0.002536905039,0.000648898487,0,0,0.0005386650736,0
0.985,0.3197814541,0.3158683232,0.340988637,0.01978502344,0.00232550044,0.0006760278218,0,0,0.0005750339208,0
0.99,0.3006122259,0.3172289088,0.3560008838,0.02283727975,0.002010035509,0.0007002160059,0,0,0.0006104501567,0
0.995,0.2831613185,0.3205468826,0.3678044389,0.02526310869,0.00183901143,0.0007280838945,6.482105742e-06,0,0.000650673859,0
1.0,0.2690016131,0.3297749022,0.3715399893,0.02612442518,0.00206502503,0.0007675347753,2.328687544e-05,0,0.0007032235454,0
1.005,0.2547594245,0.3390518682,0.3752930871,0.02699035452,0.002292294667,0.0008080127956,4.593587543e-05,0,0.0007590223149,0
1.01,0.2523823663,0.345709112,0.3700498219,0.02774871726,0.002369376352,0.0008493852573,7.315214287e-05,0,0.0008180688481,0
1.015,0.2539006283,0.3515246573,0.3618267932,0.02847406337,0.002397279443,0.0008917485669,0.000104254238,0,0.0008805756518,0
1.02,0.2527743508,0.355157198,0.3579719931,0.02969978944,0.002377962445,0.0009342413869,0.0001386697917,0,0.000945795051,0
1.025,0.2449936489,0.3532427956,0.3651874311,0.03217317577,0.002239791867,0.0009752892478,0.0001757158969,0,0.001012151541,0
1.03,0.2372265498,0.3513296471,0.3723860223,0.03464145166,0.00210187793,0.001017115375,0.000215392937,0,0.001081942946,0
1.035,0.2188726503,0.3578875631,0.3860259594,0.03291241728,0.001850284794,0.001050564056,0.0002552716583,0,0.00114528943,0
1.04,0.1989869681,0.3658334744,0.4005446368,0.03046352906,0.001583355436,0.001082538808,0.0002962333341,0,0.001209263999,0
